skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,year,architectLabel
http://www.wikidata.org/entity/Q80499,Flame Towers,,,Азербайджан,Баку,2012-04-01T00:00:00Z,HOK
http://www.wikidata.org/entity/Q112640,Сентрал-плаза,374,78,Китай,Ваньчай,1992-01-01T00:00:00Z,DLN Architects
http://www.wikidata.org/entity/Q151765,Коммерцбанк-Тауэр,259,56,Германия,Инненштадт I,1997-01-01T00:00:00Z,Норман Фостер
http://www.wikidata.org/entity/Q11245,Всемирный торговый центр 1,541.3,,США,Манхэттен,2014-11-03T00:00:00Z,Дэвид Мэги Чайлдс
http://www.wikidata.org/entity/Q55150,Crosstown Concourse,,14,США,Мемфис,1927-01-01T00:00:00Z,George C. Nimmons
http://www.wikidata.org/entity/Q5270,Tour Part-Dieu,169.4,42,Франция,Лион,1977-01-01T00:00:00Z,Araldo Cossutta
http://www.wikidata.org/entity/Q112640,Сентрал-плаза,374,78,Китай,Hong Kong Flight Information Region,1992-01-01T00:00:00Z,DLN Architects
http://www.wikidata.org/entity/Q138752,25 Bank Street,153,33,Великобритания,Тауэр-Хэмлетс,2003-01-01T00:00:00Z,Adamson Associates
http://www.wikidata.org/entity/Q54492,Deutsche Bank Place,240,39,Австралия и Океания,Новый Южный Уэльс,2005-01-01T00:00:00Z,Норман Фостер
http://www.wikidata.org/entity/Q11245,Всемирный торговый центр 1,541.3,,США,Манхэттен,2014-11-03T00:00:00Z,Даниэль Либескинд
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004-01-01T00:00:00Z,Marshall Strabala
http://www.wikidata.org/entity/Q127172,Sede do BankBoston,,35,Бразилия,Сан-Паулу,2002-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q134137,DAMAC Heights,335,86,Объединённые Арабские Эмираты,Дубай,,Aedas
http://www.wikidata.org/entity/Q8530,Tour Oxygène,115,28,Франция,Лион,2010-06-02T00:00:00Z,Arte Charpentier
http://www.wikidata.org/entity/Q47474,US Bancorp Center,,32,США,Миннеаполис,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q133599,"Пятая авеню, 500",216.1,60,США,Манхэттен,1931-01-01T00:00:00Z,"Shreve, Lamb & Harmon"
http://www.wikidata.org/entity/Q9188,Эмпайр-стейт-билдинг,453,,США,Манхэттен,1931-05-08T00:00:00Z,"Shreve, Lamb & Harmon"
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004-01-01T00:00:00Z,Эдриан Смит
http://www.wikidata.org/entity/Q40600,AT&T Midtown Center I,,47,США,Джорджия,1980-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q11245,Всемирный торговый центр 1,541.3,,США,Манхэттен,2014-11-03T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q83101,Тайбэй 101,2,101,Китайская Республика (Тайвань),Xicun Village,2005-12-31T00:00:00Z,Си Ли
http://www.wikidata.org/entity/Q167566,Дворец культуры и науки,230,42,Польша,Средместье,1955-07-22T00:00:00Z,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q28868,Hancock Whitney Center,212.45,51,США,Новый Орлеан,1972-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q116002,200 West Street,228,44,США,Бэттери-Парк-сити,2009-01-01T00:00:00Z,Henry N. Cobb
http://www.wikidata.org/entity/Q118214,Менара Телеком,310,77,Малайзия,Куала-Лумпур,2001-01-01T00:00:00Z,Hijjas Kasturi
http://www.wikidata.org/entity/Q9188,Эмпайр-стейт-билдинг,1500,,США,Манхэттен,1931-05-08T00:00:00Z,"Shreve, Lamb & Harmon"
http://www.wikidata.org/entity/Q83063,Башни Петронас,1483,88,Малайзия,Куала-Лумпур,1993-03-01T00:00:00Z,Adamson Associates
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q116002,200 West Street,228,44,США,Бэттери-Парк-сити,2009-01-01T00:00:00Z,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q138752,25 Bank Street,153,33,Великобритания,Тауэр-Хэмлетс,2003-01-01T00:00:00Z,Сезар Пелли
http://www.wikidata.org/entity/Q120546,Empire Tower,227,62,Таиланд,Бангкок,1999-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q168575,CTF Finance Centre,530,111,Китай,Гуанчжоу,2016-10-01T00:00:00Z,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004-01-01T00:00:00Z,George J. Efstathiou
http://www.wikidata.org/entity/Q80813,Цзинь Мао,420.5,88,Китай,Шанхай,1998-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q29272,Гостиница Рюгён,323,105,КНДР,Пхеньян,,Институт архитектуры «Пэктусан»
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,108,США,Чикаго,1971-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q167566,Дворец культуры и науки,230,42,Польша,Варшава,1955-07-22T00:00:00Z,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q143235,Ухань гринлэнд сентер,475.6,97,Китай,Ухань,,Adrian Smith + Gordon Gill Architecture
http://www.wikidata.org/entity/Q135672,Эссенская ратуша,106,22,Германия,Эссен,1979-01-01T00:00:00Z,Theodor Josef Seifert
http://www.wikidata.org/entity/Q169420,Здание-Алтин-Арантиса,161.22,,Бразилия,Сан-Паулу,1939-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004-01-01T00:00:00Z,William F. Baker
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,108,США,Чикаго,1971-01-01T00:00:00Z,Брюс Грэм
http://www.wikidata.org/entity/Q29294,Уиллис-тауэр,442.1,108,США,Чикаго,1971-01-01T00:00:00Z,Фазлур Хан
http://www.wikidata.org/entity/Q167870,Boardwalk Hotel and Casino,,,США,Невада,,
http://www.wikidata.org/entity/Q42258,Миранти-ду-Вали,170,,Бразилия,Central Zone of São Paulo,1960-01-01T00:00:00Z,Арон Коган
http://www.wikidata.org/entity/Q80813,Цзинь Мао,421,88,Китай,Шанхай,1998-01-01T00:00:00Z,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q138755,40 Bank Street,,33,Великобритания,Тауэр-Хэмлетс,2003-01-01T00:00:00Z,Сезар Пелли
