skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Дмитрий Чечулин
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Поляков, Леонид Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Владимир Георгиевич Гельфрейх
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,Павел Васильевич Абросимов
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,Россия,Москва,,"Руднев, Лев Владимирович"
http://www.wikidata.org/entity/Q544726,Chateau Tower of Puerto Madero,,48,Аргентина,Буэнос-Айрес,,
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q571763,Паласио Бароло,100,22,Аргентина,Буэнос-Айрес,,Марио Паланти
http://www.wikidata.org/entity/Q540000,Two Logan Square,435,35,США,Center City,,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Мезенцев, Борис Сергеевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,156,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,172,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,176,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,Ашот Мндоянц
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Посохин, Михаил Михайлович"
http://www.wikidata.org/entity/Q521935,сталинские высотки,206,,СССР,Москва,,"Хряков, Александр Фёдорович"
http://www.wikidata.org/entity/Q538076,Liberty Tower,117.4,33,США,Манхэттен,,Henry Ives Cobb
http://www.wikidata.org/entity/Q521935,сталинские высотки,240,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,136,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
http://www.wikidata.org/entity/Q521935,сталинские высотки,138,,Россия,Москва,,"Мордвинов, Аркадий Григорьевич"
