skyscraper,skyscraperLabel,height,floors,countryLabel,cityLabel,constructionYear,architectLabel
http://www.wikidata.org/entity/Q83063,Башни Петронас,1483,88,Малайзия,Куала-Лумпур,1993,Сезар Пелли
http://www.wikidata.org/entity/Q83063,Башни Петронас,1483,88,Малайзия,Куала-Лумпур,1993,Adamson Associates
http://www.wikidata.org/entity/Q2023928,One57,1005,75,США,Манхэттен,2014,Кристиан де Портзампарк
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004,Эдриан Смит
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004,"Skidmore, Owings and Merrill"
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004,William F. Baker
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004,George J. Efstathiou
http://www.wikidata.org/entity/Q12495,Бурдж-Халифа,828,163,Объединённые Арабские Эмираты,Дубай,2004,Marshall Strabala
http://www.wikidata.org/entity/Q2301069,1201 Third Avenue,772,55,США,Вашингтон,1988,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q2301069,1201 Third Avenue,772,55,США,Сиэтл,1988,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q2301069,1201 Third Avenue,772,55,США,Downtown Seattle,1988,Kohn Pedersen Fox
http://www.wikidata.org/entity/Q116002,200 West Street,749,44,США,Бэттери-Парк-сити,2009,Henry N. Cobb
http://www.wikidata.org/entity/Q116002,200 West Street,749,44,США,Бэттери-Парк-сити,2009,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q17986468,"Four Seasons Hotel & Private Residences, One Dalton Street",742,61,США,Бостон,2018,Pei Cobb Freed & Partners
http://www.wikidata.org/entity/Q19817555,Light House Melbourne,715,69,Австралия,Мельбурн,2017,Elenberg Fraser
http://www.wikidata.org/entity/Q3500583,Georgia-Pacific Tower,697,52,США,Атланта,1982,"Skidmore, Owings and Merrill"
